time[s],flux[W/m2],phi[deg],theta[deg]
0.0,1336.0,3.0439942424813444,148.42651013427823
100.0,1336.0,3.469006404069529,27.355176085719112
200.0,1336.0,8.900444017933372,10.352481819465245
300.0,1336.0,14.517700176207004,6.380248022324492
400.0,1336.0,20.16811537653869,4.63416570717736
500.0,1336.0,25.82610496722207,3.6607877821165387
600.0,1336.0,31.49030609221789,3.058279274356022
700.0,1336.0,37.15921095968868,2.644266851584899
800.0,1336.0,42.82971761071839,2.349183440538105
900.0,1336.0,48.50124436038245,2.132121925933475
1000.0,1336.0,54.17131334588301,1.973385899039929
1100.0,1336.0,59.84396988763338,1.850365746472341
1200.0,1336.0,65.51694731557068,1.7580340644895192
1300.0,1336.0,71.18698031201319,1.6879918121728679
1400.0,1336.0,76.85814570040083,1.6441073244515496
1500.0,1336.0,82.53156389629918,1.6148656429538548
1600.0,1336.0,88.20501424652562,1.6020843324636498
1700.0,1336.0,93.87624532490096,1.6082549499351448
1800.0,1336.0,99.54961665792842,1.627256322298374
1900.0,1336.0,105.22288453963502,1.6631807903093343
2000.0,1336.0,110.89599657324892,1.7179053667345805
2100.0,1336.0,116.56353420191857,1.7954535064090937
2200.0,0.0,122.2361212763606,1.8986304814556176
2300.0,0.0,127.90829245415176,2.0354967331432707
2400.0,0.0,133.57988331773316,2.2169845491599305
2500.0,0.0,139.2483407630314,2.4651131772477597
2600.0,0.0,144.91783307440826,2.799894751410445
2700.0,0.0,150.58534898495043,3.276931959366056
2800.0,0.0,156.24707227548544,4.004227620843597
2900.0,0.0,161.90453516574328,5.195409211114824
3000.0,0.0,167.5435270599243,7.481821971285207
3100.0,0.0,173.13135983221454,13.582456997257399
3200.0,0.0,178.0999123147088,58.072386313818285
3300.0,0.0,175.0597572623356,160.9265850041314
3400.0,0.0,169.53077497042253,171.09038386771905
3500.0,0.0,163.90011387152504,174.17522167831936
3600.0,0.0,158.24856057911094,175.63576711853415
3700.0,0.0,152.58636624968167,176.48824752335025
3800.0,0.0,146.92314718604928,177.0418539191474
3900.0,0.0,141.25637715349276,177.4154533247061
4000.0,0.0,135.5860730363033,177.68880582141355
4100.0,0.0,129.91480176125796,177.8912322485604
4200.0,0.0,124.24286490043856,178.04347729570458
4300.0,1336.0,118.57260647767801,178.1548236577289
4400.0,1336.0,112.89986497840809,178.24099726596566
4500.0,1336.0,107.2268731568356,178.30363964695607
4600.0,1336.0,101.55370172984253,178.34635825421935
4700.0,1336.0,95.88574675994747,178.37047607028254
4800.0,1336.0,90.21238127059581,178.3791929690391
4900.0,1336.0,84.53898707320334,178.37194406489763
5000.0,1336.0,78.86782717473952,178.34516608153942
5100.0,1336.0,73.19452513107893,178.3039511535574
5200.0,1336.0,67.5213471049986,178.24293735148245
5300.0,1336.0,61.8483647169382,178.15861160855562
5400.0,1336.0,56.17793159257826,178.04189726193133
5500.0,1336.0,50.50876294832434,177.89482758008785
5600.0,1336.0,44.83710780722964,177.69571420458618
5700.0,1336.0,39.16636338330625,177.42718710356158
5800.0,1336.0,33.49935628467534,177.04975086863251
5900.0,1336.0,27.832343925301732,176.5115684730667
6000.0,1336.0,22.169433597252155,175.68217953847457
6100.0,1336.0,16.517372411809276,174.25367613338148
6200.0,1336.0,10.884405150006549,171.32937286134964
6300.0,1336.0,3.0439942424813444,148.42651013427823
6400.0,1336.0,3.469006404069529,27.355176085719112
6500.0,1336.0,8.900444017933372,10.352481819465245
6600.0,1336.0,14.517700176207004,6.380248022324492
6700.0,1336.0,20.16811537653869,4.63416570717736
6800.0,1336.0,25.82610496722207,3.6607877821165387
6900.0,1336.0,31.49030609221789,3.058279274356022
7000.0,1336.0,37.15921095968868,2.644266851584899
7100.0,1336.0,42.82971761071839,2.349183440538105
7200.0,1336.0,48.50124436038245,2.132121925933475
7300.0,1336.0,54.17131334588301,1.973385899039929
7400.0,1336.0,59.84396988763338,1.850365746472341
7500.0,1336.0,65.51694731557068,1.7580340644895192
7600.0,1336.0,71.18698031201319,1.6879918121728679
7700.0,1336.0,76.85814570040083,1.6441073244515496
7800.0,1336.0,82.53156389629918,1.6148656429538548
7900.0,1336.0,88.20501424652562,1.6020843324636498
8000.0,1336.0,93.87624532490096,1.6082549499351448
8100.0,1336.0,99.54961665792842,1.627256322298374
8200.0,1336.0,105.22288453963502,1.6631807903093343
8300.0,1336.0,110.89599657324892,1.7179053667345805
8400.0,1336.0,116.56353420191857,1.7954535064090937
8500.0,0.0,122.2361212763606,1.8986304814556176
8600.0,0.0,127.90829245415176,2.0354967331432707
8700.0,0.0,133.57988331773316,2.2169845491599305
8800.0,0.0,139.2483407630314,2.4651131772477597
8900.0,0.0,144.91783307440826,2.799894751410445
9000.0,0.0,150.58534898495043,3.276931959366056
9100.0,0.0,156.24707227548544,4.004227620843597
9200.0,0.0,161.90453516574328,5.195409211114824
9300.0,0.0,167.5435270599243,7.481821971285207
9400.0,0.0,173.13135983221454,13.582456997257399
9500.0,0.0,178.0999123147088,58.072386313818285
9600.0,0.0,175.0597572623356,160.9265850041314
9700.0,0.0,169.53077497042253,171.09038386771905
9800.0,0.0,163.90011387152504,174.17522167831936
9900.0,0.0,158.24856057911094,175.63576711853415
10000.0,0.0,152.58636624968167,176.48824752335025
10100.0,0.0,146.92314718604928,177.0418539191474
10200.0,0.0,141.25637715349276,177.4154533247061
